Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles	cnv_call
BRCA1	36.0271	3.92717	0.247571	0.2	48.3347	2.33528	1	48.3347	0	0	0	133	7	97	del
RAD51C	6.24212	3.06481	0.001	0.2	8.93718	2.04319	1	8.93718	0.00055	0.0017	0.0017	14	2	21	del
BRCA2	2.73288	2.03098	0.001	0.2	5.33146	5	0.438899	4.46254	0.0007	0.0039	0.00745	93	9	15	del
AFF3	2.034	1.68355	0.001	0.2	5.97628	5	0.812146	5.68544	0.0026	0.0026	0.0026	37	6	9	del
CRACR2A	2.17137	2.03455	0.001	0.2	6.38571	5	1	6.38571	0.0045	0.0045	0.0045	14	3	7	del
FBLIM1	3.07791	3.04986	0.001	0.2	5.1934	5	1	5.1934	0.0048	0.0048	0.0048	3	1	5	del
BCKDHB	3.3428	2.42977	0.001	0.2	6.65706	2.52818	1	6.65706	0.0049	0.0049	0.0049	20	3	12	del
ANGPT2	4.23613	2.71734	0.001	0.2	8.20945	5	1	8.20945	0.005	0.005	0.005	4	2	8	del
LRGUK	2.61488	2.55529	0.001	0.2	4.49847	1.924	1	4.49847	0.0057	0.0051	0.0056	11	2	11	del
NAT1	2.82936	1.83929	0.001	0.2	7.48209	2.60734	1	7.48209	0.006	0.0022	0.0071	81	6	11	del
ESR1	1.81555	1.20715	0.001	0.2	4.7419	1.43251	1	4.7419	0.0068	0.011	0.0104	67	16	21	del
MCPH1	3.42777	2.0142	0.001	0.2	6.31401	1.37474	1	6.31401	0.0076	0.0156	0.0109	50	5	29	del
CACNA2D3	1.92251	1.39208	0.001	0.2	5.61951	1.98771	1	5.61951	0.0082	0.0079	0.0069	47	10	14	del
RORA	3.44903	1.83318	0.001	0.2	7.93409	1.98791	1	7.93409	0.0093	0.0145	0.0107	66	6	19	del
ERC2	1.64889	1.84745	0.001	0.2	3.39739	0.877188	1	3.39739	0.0099	0.0106	0.0133	7	3	41	del
SLC24A2	2.27958	1.62053	0.001	0.2	6.19545	5	0.865224	6.04498	0.0106	0.0106	0.0106	22	7	9	del
LTBP1	1.70366	2.47963	0.001	0.139296	2.6744	1.2907	0.363967	0.746582	0.0112	0.0333	0.2582	36	10	44	del
PACSIN1	1.67442	2.10568	0.001	0.2	3.0349	1.66124	1	3.0349	0.0113	0.0385	0.0429	10	3	10	del
MGMT	1.32345	1.77731	0.001	0.2	2.59515	2.64381	0.697677	2.26838	0.0114	0.0378	0.0526	21	4	9	del
"ANGPT2,MCPH1"	2.91224	2.39377	0.001	0.2	5.60905	2.68783	1	5.60905	0.0123	0.0123	0.0123	18	2	9	del
GAREM1	1.75627	1.44223	0.001	0.2	5.88143	2.68577	1	5.88143	0.0124	0.0084	0.0084	21	6	10	del
ITGBL1	2.04525	1.91714	0.001	0.2	4.04237	1.31652	1	4.04237	0.0143	0.0208	0.0208	33	3	21	del
VSTM1	1.68822	1.53044	0.001	0.2	5.80597	2.64578	1	5.80597	0.0153	0.0124	0.0124	19	5	11	del
CRISPLD2	2.22431	2.01428	0.001	0.2	6.28522	5	1	6.28522	0.0159	0.0159	0.0159	23	3	6	del
PRKCA	2.05332	1.44388	0.001	0.2	3.04653	5	0.493115	3.27567	0.0168	0.0522	0.0292	75	8	53	del
ZMIZ1	1.77351	-1.83029	0.001	0.2	7.12705	-2.57091	1	7.12705	0.0181	0.0041	0.0041	13	5	25	del
ZNF846	1.61477	2.47057	0.001	0.2	2.99088	1.76688	1	2.99088	0.0193	0.032	0.032	4	1	9	del
STS	1.49032	2.40915	0.001	0.2	2.76725	0.956137	1	2.76725	0.02	0.0174	0.0166	13	1	25	del
ARL15	1.41032	1.51964	0.001	0.2	4.2221	2.44904	1	4.2221	0.0206	0.0206	0.0206	33	5	8	del
